Date,España,Colombia
2021-02-15 00:00:00+00:00,3086286,2198549
2021-02-16 00:00:00+00:00,3096343,2202598
2021-02-17 00:00:00+00:00,3107172,2207701
2021-02-18 00:00:00+00:00,3121687,2212525
2021-02-19 00:00:00+00:00,3133122,2217001
2021-02-20 00:00:00+00:00,3133122,2222018
2021-02-21 00:00:00+00:00,3133122,2226262
2021-02-22 00:00:00+00:00,3153971,2229663
2021-02-23 00:00:00+00:00,3161432,2233589
2021-02-24 00:00:00+00:00,3170644,2237542
2021-02-25 00:00:00+00:00,3180212,2241225
2021-02-26 00:00:00+00:00,3188553,2244792
2021-02-27 00:00:00+00:00,3188553,2248135
2021-02-28 00:00:00+00:00,3188553,2251690
2021-03-01 00:00:00+00:00,3204531,2255260
2021-03-02 00:00:00+00:00,3130184,2259599
2021-03-03 00:00:00+00:00,3136321,2262646
2021-03-04 00:00:00+00:00,3142358,2266211
2021-03-05 00:00:00+00:00,3149012,2269582
2021-03-06 00:00:00+00:00,3149012,2273245
2021-03-07 00:00:00+00:00,3149012,2276656
2021-03-08 00:00:00+00:00,3160970,2278861
2021-03-09 00:00:00+00:00,3164982,2282372
2021-03-10 00:00:00+00:00,3172101,2285960
2021-03-11 00:00:00+00:00,3178356,2290539
2021-03-12 00:00:00+00:00,3183704,2294617
2021-03-13 00:00:00+00:00,3183704,2299082
2021-03-14 00:00:00+00:00,3183704,2303144
2021-03-15 00:00:00+00:00,3195062,2305884
2021-03-16 00:00:00+00:00,3200024,2309600
2021-03-17 00:00:00+00:00,3206116,2314154
2021-03-18 00:00:00+00:00,3212332,2319293
2021-03-19 00:00:00+00:00,3212332,2324426
2021-03-20 00:00:00+00:00,3212332,2331187
2021-03-21 00:00:00+00:00,3212332,2337230
2021-03-22 00:00:00+00:00,3228803,2342278
2021-03-23 00:00:00+00:00,3234319,2347224
2021-03-24 00:00:00+00:00,3234319,2353210
2021-03-25 00:00:00+00:00,3247738,2359942
2021-03-26 00:00:00+00:00,3255324,2367337
2021-03-27 00:00:00+00:00,3255324,2375591
2021-03-28 00:00:00+00:00,3255324,2382730
2021-03-29 00:00:00+00:00,3270825,2389779
2021-03-30 00:00:00+00:00,3275819,2397731
2021-03-31 00:00:00+00:00,3284353,2406377
2021-04-01 00:00:00+00:00,3291394,2417826
2021-04-02 00:00:00+00:00,3291394,2428048
2021-04-03 00:00:00+00:00,3300965,2437197
2021-04-04 00:00:00+00:00,3300965,2446219
2021-04-05 00:00:00+00:00,3311325,2456409
2021-04-06 00:00:00+00:00,3317948,2468236
2021-04-07 00:00:00+00:00,3326736,2479617
2021-04-08 00:00:00+00:00,3336637,2492081
2021-04-09 00:00:00+00:00,3347512,2504206
2021-04-10 00:00:00+00:00,3347512,2518715
2021-04-11 00:00:00+00:00,3347512,2536198
2021-04-12 00:00:00+00:00,3370256,2552937
2021-04-13 00:00:00+00:00,3376548,2569314
2021-04-14 00:00:00+00:00,3387022,2585801
2021-04-15 00:00:00+00:00,3396685,2602719
2021-04-16 00:00:00+00:00,3407283,2619422
2021-04-17 00:00:00+00:00,3407283,2636076
2021-04-18 00:00:00+00:00,3407283,2652947
2021-04-19 00:00:00+00:00,3428354,2667136
2021-04-20 00:00:00+00:00,3428354,2684101
2021-04-21 00:00:00+00:00,3446072,2701313
2021-04-22 00:00:00+00:00,3456886,2720619
2021-04-23 00:00:00+00:00,3468617,2740544
2021-04-24 00:00:00+00:00,3468617,2757274
2021-04-25 00:00:00+00:00,3468617,2774464
2021-04-26 00:00:00+00:00,3488469,2787303
2021-04-27 00:00:00+00:00,3496134,2804881
2021-04-28 00:00:00+00:00,3504799,2824626
2021-04-29 00:00:00+00:00,3514942,2841934
2021-04-30 00:00:00+00:00,3524077,2859724
2021-05-01 00:00:00+00:00,3524077,2877746
2021-05-02 00:00:00+00:00,3524077,2893655
2021-05-03 00:00:00+00:00,3540430,2905254
2021-05-04 00:00:00+00:00,3544945,2919805
2021-05-05 00:00:00+00:00,3551262,2934611
2021-05-06 00:00:00+00:00,3559222,2951101
2021-05-07 00:00:00+00:00,3567408,2968626
2021-05-08 00:00:00+00:00,3567408,2985536
2021-05-09 00:00:00+00:00,3567408,3002758
2021-05-10 00:00:00+00:00,3581392,3015301
2021-05-11 00:00:00+00:00,3586333,3031726
2021-05-12 00:00:00+00:00,3592751,3048719
2021-05-13 00:00:00+00:00,3598452,3067879
2021-05-14 00:00:00+00:00,3604799,3084460
2021-05-15 00:00:00+00:00,3604799,3103333
2021-05-16 00:00:00+00:00,3604799,3118426
2021-05-17 00:00:00+00:00,3615860,3131410
2021-05-18 00:00:00+00:00,3619848,3144547
2021-05-19 00:00:00+00:00,3625928,3161126
2021-05-20 00:00:00+00:00,3631661,3177212
2021-05-21 00:00:00+00:00,3636453,3192050
2021-05-22 00:00:00+00:00,3636453,3210787
2021-05-23 00:00:00+00:00,3636453,3232456
2021-05-24 00:00:00+00:00,3647520,3249433
2021-05-25 00:00:00+00:00,3652879,3270614
2021-05-26 00:00:00+00:00,3657886,3294101
2021-05-27 00:00:00+00:00,3663176,3319193
2021-05-28 00:00:00+00:00,3668658,3342567
2021-05-29 00:00:00+00:00,3668658,3363061
2021-05-30 00:00:00+00:00,3668658,3383279
2021-05-31 00:00:00+00:00,3678390,3406456
2021-06-01 00:00:00+00:00,3682778,3432422
2021-06-02 00:00:00+00:00,3687762,3459422
2021-06-03 00:00:00+00:00,3693012,3488046
2021-06-04 00:00:00+00:00,3697981,3518046
2021-06-05 00:00:00+00:00,3697981,3547017
2021-06-06 00:00:00+00:00,3697981,3571067
2021-06-07 00:00:00+00:00,3707523,3593016
2021-06-08 00:00:00+00:00,3711027,3611602
2021-06-09 00:00:00+00:00,3715454,3633481
2021-06-10 00:00:00+00:00,3729458,3665137
2021-06-11 00:00:00+00:00,3733600,3694707
2021-06-12 00:00:00+00:00,3733600,3724705
2021-06-13 00:00:00+00:00,3733600,3753224
2021-06-14 00:00:00+00:00,3741767,3777600
2021-06-15 00:00:00+00:00,3745199,3802052
2021-06-16 00:00:00+00:00,3749031,3829879
2021-06-17 00:00:00+00:00,3753228,3859824
2021-06-18 00:00:00+00:00,3757442,3888614
2021-06-19 00:00:00+00:00,3757442,3917348
2021-06-20 00:00:00+00:00,3757442,3945166
2021-06-21 00:00:00+00:00,3764651,3968405
2021-06-22 00:00:00+00:00,3768691,3997021
